REF_AREA,MEASURE,UNIT_MEASURE,AGE,SEX,EDUCATION_LEVEL,INCOME_GROUP,EMP_STATUS,TIME_PERIOD,OBS_VALUE,BREAKDOWN_V7_HH,V7 Breakdowns households
FRA,D1A_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,95.843,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,F4G_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,1.8295,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,G2I_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,10.3323,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,F2A_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,76.29740000000001,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,G2G_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,18.3431,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,H1C_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,37.5584,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,C5B1_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,94.3733,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,D1T_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,88.2756,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,H1K_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,9.758,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,G2H3_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,24.2941,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,C5B_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,98.4945,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,F4F_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,1.4949,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,C5A_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,98.7875,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,F4A_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,33.0795,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,G2J_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,10.1401,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,G2H1_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,22.2123,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,I7B_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,46.6496,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,H1I_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,60.2492,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,G2N2_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,11.132,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,F2_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,96.3937,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,G2A1_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,27.7162,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,G2H2_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,18.8466,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,I7A_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,73.96509999999999,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,F2B_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,34.275800000000004,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,I7C_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,73.4028,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,G2M_I,PT_POP,Y16T74,Total,HI,Total,Total,2023,14.2916,I_HI,Individuals aged 16-74 with a high level of educational attainment
