STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,GEO_AREA,Geographical area,AGE,Age,SEX,Sex,EDUCATION_LEVEL,Education level,INCOME_GROUP,Income group,EMP_STATUS,Employment status,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,OBS_STATUS_3,Observation status 3,UNIT_MULT,Unit multiplier,TIME_HORIZON_USE,Time horizon,DECIMALS,Decimals,BREAKDOWN_V7_HH,V7 Breakdowns households
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,DEU,Germany,A,Annual,D1U_I,Individuals using the internet for selling of goods or services (e.g. on eBay) - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T24,From 16 to 24 years,_T,Total,HI,High level of educational attainment,_T,Total,_T,Total,2022,,21.851799999999997,,A,Normal value,,,,,0,Units,,,2,Two,Y16_24HI,Individuals aged 16-24 with a high level of educational attainment
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,DEU,Germany,A,Annual,D1B_I,Individuals using the internet for accessing social networking sites - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T24,From 16 to 24 years,_T,Total,HI,High level of educational attainment,_T,Total,_T,Total,2022,,79.202,,A,Normal value,,,,,0,Units,,,2,Two,Y16_24HI,Individuals aged 16-24 with a high level of educational attainment
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,DEU,Germany,A,Annual,C5B1_I,Individuals using the internet daily or almost every day - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T24,From 16 to 24 years,_T,Total,HI,High level of educational attainment,_T,Total,_T,Total,2022,,98.67,,A,Normal value,,,,,0,Units,,,2,Two,Y16_24HI,Individuals aged 16-24 with a high level of educational attainment
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,DEU,Germany,A,Annual,G1_I,Individuals who have purchased online - last 12 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T24,From 16 to 24 years,_T,Total,HI,High level of educational attainment,_T,Total,_T,Total,2022,,99.2543,,A,Normal value,,,,,0,Units,,,2,Two,Y16_24HI,Individuals aged 16-24 with a high level of educational attainment
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,DEU,Germany,A,Annual,D1T_I,Individuals using the internet for internet banking - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T24,From 16 to 24 years,_T,Total,HI,High level of educational attainment,_T,Total,_T,Total,2022,,84.42779999999999,,A,Normal value,,,,,0,Units,,,2,Two,Y16_24HI,Individuals aged 16-24 with a high level of educational attainment
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,DEU,Germany,A,Annual,D1J2_I,Individuals using the internet for watching internet streamed TV (live or catch-up) from TV broadcasters - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T24,From 16 to 24 years,_T,Total,HI,High level of educational attainment,_T,Total,_T,Total,2022,,62.546800000000005,,A,Normal value,,,,,0,Units,,,2,Two,Y16_24HI,Individuals aged 16-24 with a high level of educational attainment
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,DEU,Germany,A,Annual,D1O_I,Individuals using the internet for doing an online course (in any subject) - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T24,From 16 to 24 years,_T,Total,HI,High level of educational attainment,_T,Total,_T,Total,2022,,32.1613,,A,Normal value,,,,,0,Units,,,2,Two,Y16_24HI,Individuals aged 16-24 with a high level of educational attainment
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,DEU,Germany,A,Annual,D1A_I,Individuals using the internet for e-mailing for private (non-work) purpose - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T24,From 16 to 24 years,_T,Total,HI,High level of educational attainment,_T,Total,_T,Total,2022,,96.5127,,A,Normal value,,,,,0,Units,,,2,Two,Y16_24HI,Individuals aged 16-24 with a high level of educational attainment
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,DEU,Germany,A,Annual,D1E_I,Individuals using the internet for telephoning/video calling - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T24,From 16 to 24 years,_T,Total,HI,High level of educational attainment,_T,Total,_T,Total,2022,,86.4703,,A,Normal value,,,,,0,Units,,,2,Two,Y16_24HI,Individuals aged 16-24 with a high level of educational attainment
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,DEU,Germany,A,Annual,D1G_I,Individuals using the internet for reading/downloading online newspapers/news magazines - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T24,From 16 to 24 years,_T,Total,HI,High level of educational attainment,_T,Total,_T,Total,2022,,78.643,,A,Normal value,,,,,0,Units,,,2,Two,Y16_24HI,Individuals aged 16-24 with a high level of educational attainment
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,DEU,Germany,A,Annual,D1F_I,Individuals using the internet for finding information about goods and services - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T24,From 16 to 24 years,_T,Total,HI,High level of educational attainment,_T,Total,_T,Total,2022,,84.94319999999999,,A,Normal value,,,,,0,Units,,,2,Two,Y16_24HI,Individuals aged 16-24 with a high level of educational attainment
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,DEU,Germany,A,Annual,D1H_I,Individuals using the internet for seeking health information - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T24,From 16 to 24 years,_T,Total,HI,High level of educational attainment,_T,Total,_T,Total,2022,,56.55050000000001,,A,Normal value,,,,,0,Units,,,2,Two,Y16_24HI,Individuals aged 16-24 with a high level of educational attainment
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,DEU,Germany,A,Annual,D1J1_I,"Individuals using the internet for listening to music (e.g. web radio, music streaming) or downloading music - last 3 m",PT_POP,Percentage of population,_Z,Not applicable,Y16T24,From 16 to 24 years,_T,Total,HI,High level of educational attainment,_T,Total,_T,Total,2022,,85.25890000000001,,A,Normal value,,,,,0,Units,,,2,Two,Y16_24HI,Individuals aged 16-24 with a high level of educational attainment
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,DEU,Germany,A,Annual,F2_I,Individuals using the internet for using public authorities services - last 12 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T24,From 16 to 24 years,_T,Total,HI,High level of educational attainment,_T,Total,_T,Total,2023,,80.9774,,A,Normal value,,,,,0,Units,,,2,Two,Y16_24HI,Individuals aged 16-24 with a high level of educational attainment
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,DEU,Germany,A,Annual,H1H_I,"Individuals who have found, downloaded and installed software from the internet - last 12 m",PT_POP,Percentage of population,_Z,Not applicable,Y16T24,From 16 to 24 years,_T,Total,HI,High level of educational attainment,_T,Total,_T,Total,2023,,86.7374,,A,Normal value,,,,,0,Units,,,2,Two,Y16_24HI,Individuals aged 16-24 with a high level of educational attainment
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,DEU,Germany,A,Annual,D1H_I,Individuals using the internet for seeking health information - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T24,From 16 to 24 years,_T,Total,HI,High level of educational attainment,_T,Total,_T,Total,2023,,51.639900000000004,,A,Normal value,,,,,0,Units,,,2,Two,Y16_24HI,Individuals aged 16-24 with a high level of educational attainment
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,DEU,Germany,A,Annual,H1G_I,Individuals who have transferred files - last 12 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T24,From 16 to 24 years,_T,Total,HI,High level of educational attainment,_T,Total,_T,Total,2023,,92.55799999999999,,A,Normal value,,,,,0,Units,,,2,Two,Y16_24HI,Individuals aged 16-24 with a high level of educational attainment
