STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,GEO_AREA,Geographical area,AGE,Age,SEX,Sex,EDUCATION_LEVEL,Education level,INCOME_GROUP,Income group,EMP_STATUS,Employment status,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,OBS_STATUS_3,Observation status 3,UNIT_MULT,Unit multiplier,TIME_HORIZON_USE,Time horizon,DECIMALS,Decimals,BREAKDOWN_V7_HH,V7 Breakdowns households
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,FRA,France,A,Annual,D1A_I,Individuals using the internet for e-mailing for private (non-work) purpose - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,_T,Total,HI,High level of educational attainment,_T,Total,_T,Total,2023,,95.843,,A,Normal value,,,,,0,Units,,,2,Two,I_HI,Individuals aged 16-74 with a high level of educational attainment
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,FRA,France,A,Annual,F4G_I,Individuals did not submit forms to public authorities: personal data protection and security concerns - last 12 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,_T,Total,HI,High level of educational attainment,_T,Total,_T,Total,2023,,1.8295,,A,Normal value,,,,,0,Units,,,2,Two,I_HI,Individuals aged 16-74 with a high level of educational attainment
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,FRA,France,A,Annual,G2I_I,Individuals who have purchased online ICT services (excluding software) - last 12 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,_T,Total,HI,High level of educational attainment,_T,Total,_T,Total,2023,,10.3323,,A,Normal value,,,,,0,Units,,,2,Two,I_HI,Individuals aged 16-74 with a high level of educational attainment
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,FRA,France,A,Annual,F2A_I,Individuals using the internet for income tax declaration services - last 12 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,_T,Total,HI,High level of educational attainment,_T,Total,_T,Total,2023,,76.29740000000001,,A,Normal value,,,,,0,Units,,,2,Two,I_HI,Individuals aged 16-74 with a high level of educational attainment
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,FRA,France,A,Annual,G2G_I,Individuals who have purchased online financial products - last 12 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,_T,Total,HI,High level of educational attainment,_T,Total,_T,Total,2023,,18.3431,,A,Normal value,,,,,0,Units,,,2,Two,I_HI,Individuals aged 16-74 with a high level of educational attainment
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,FRA,France,A,Annual,H1C_I,Individuals who have used spreadsheet advanced functions - last 12 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,_T,Total,HI,High level of educational attainment,_T,Total,_T,Total,2023,,37.5584,,A,Normal value,,,,,0,Units,,,2,Two,I_HI,Individuals aged 16-74 with a high level of educational attainment
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,FRA,France,A,Annual,C5B1_I,Individuals using the internet daily or almost every day - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,_T,Total,HI,High level of educational attainment,_T,Total,_T,Total,2023,,94.3733,,A,Normal value,,,,,0,Units,,,2,Two,I_HI,Individuals aged 16-74 with a high level of educational attainment
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,FRA,France,A,Annual,D1T_I,Individuals using the internet for internet banking - last 3 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,_T,Total,HI,High level of educational attainment,_T,Total,_T,Total,2023,,88.2756,,A,Normal value,,,,,0,Units,,,2,Two,I_HI,Individuals aged 16-74 with a high level of educational attainment
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,FRA,France,A,Annual,H1K_I,Individuals who have written computer code - last 12 m,PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,_T,Total,HI,High level of educational attainment,_T,Total,_T,Total,2023,,9.758,,A,Normal value,,,,,0,Units,,,2,Two,I_HI,Individuals aged 16-74 with a high level of educational attainment
DATAFLOW,OECD.STI.DEP:DSD_ICT_HH_IND@DF_IND(1.1),ICT Access and Usage by Individuals,I,FRA,France,A,Annual,G2H3_I,"Individuals who have purchased online: cosmetics, beauty or wellness products - last 12 m",PT_POP,Percentage of population,_Z,Not applicable,Y16T74,From 16 to 74 years,_T,Total,HI,High level of educational attainment,_T,Total,_T,Total,2023,,24.2941,,A,Normal value,,,,,0,Units,,,2,Two,I_HI,Individuals aged 16-74 with a high level of educational attainment
